X,Y
0.0,4.095999999999989e-09
1.0,1.638399999999996e-08
2.0,1.638399999999996e-08
3.0,6.553599999999987e-08
4.0,1.638399999999996e-08
5.0,6.553599999999987e-08
6.0,6.553599999999987e-08
7.0,2.621439999999995e-07
8.0,1.638399999999996e-08
9.0,6.553599999999987e-08
10.0,6.553599999999987e-08
11.0,2.621439999999995e-07
12.0,6.553599999999987e-08
13.0,2.621439999999995e-07
14.0,2.621439999999995e-07
15.0,1.0485759999999983e-06
16.0,1.638399999999996e-08
17.0,6.553599999999987e-08
18.0,6.553599999999987e-08
19.0,2.621439999999995e-07
20.0,6.553599999999987e-08
21.0,2.621439999999995e-07
22.0,2.621439999999995e-07
23.0,1.0485759999999983e-06
24.0,6.553599999999987e-08
25.0,2.621439999999995e-07
26.0,2.621439999999995e-07
27.0,1.0485759999999983e-06
28.0,2.621439999999995e-07
29.0,1.0485759999999983e-06
30.0,1.0485759999999983e-06
31.0,4.194303999999995e-06
32.0,1.638399999999996e-08
33.0,6.553599999999987e-08
34.0,6.553599999999987e-08
35.0,2.621439999999995e-07
36.0,6.553599999999987e-08
37.0,2.621439999999995e-07
38.0,2.621439999999995e-07
39.0,1.0485759999999983e-06
40.0,6.553599999999987e-08
41.0,2.621439999999995e-07
42.0,2.621439999999995e-07
43.0,1.0485759999999983e-06
44.0,2.621439999999995e-07
45.0,1.0485759999999983e-06
46.0,1.0485759999999983e-06
47.0,4.194303999999995e-06
48.0,6.553599999999987e-08
49.0,2.621439999999995e-07
50.0,2.621439999999995e-07
51.0,1.0485759999999983e-06
52.0,2.621439999999995e-07
53.0,1.0485759999999983e-06
54.0,1.0485759999999983e-06
55.0,4.194303999999995e-06
56.0,2.621439999999995e-07
57.0,1.0485759999999983e-06
58.0,1.0485759999999983e-06
59.0,4.194303999999995e-06
60.0,1.0485759999999983e-06
61.0,4.194303999999995e-06
62.0,4.194303999999995e-06
63.0,1.6777215999999983e-05
64.0,1.638399999999996e-08
65.0,6.553599999999987e-08
66.0,6.553599999999987e-08
67.0,2.621439999999995e-07
68.0,6.553599999999987e-08
69.0,2.621439999999995e-07
70.0,2.621439999999995e-07
71.0,1.0485759999999983e-06
72.0,6.553599999999987e-08
73.0,2.621439999999995e-07
74.0,2.621439999999995e-07
75.0,1.0485759999999983e-06
76.0,2.621439999999995e-07
77.0,1.0485759999999983e-06
78.0,1.0485759999999983e-06
79.0,4.194303999999995e-06
80.0,6.553599999999987e-08
81.0,2.621439999999995e-07
82.0,2.621439999999995e-07
83.0,1.0485759999999983e-06
84.0,2.621439999999995e-07
85.0,1.0485759999999983e-06
86.0,1.0485759999999983e-06
87.0,4.194303999999995e-06
88.0,2.621439999999995e-07
89.0,1.0485759999999983e-06
90.0,1.0485759999999983e-06
91.0,4.194303999999995e-06
92.0,1.0485759999999983e-06
93.0,4.194303999999995e-06
94.0,4.194303999999995e-06
95.0,1.6777215999999983e-05
96.0,6.553599999999987e-08
97.0,2.621439999999995e-07
98.0,2.621439999999995e-07
99.0,1.0485759999999983e-06
100.0,2.621439999999995e-07
101.0,1.0485759999999983e-06
102.0,1.0485759999999983e-06
103.0,4.194303999999995e-06
104.0,2.621439999999995e-07
105.0,1.0485759999999983e-06
106.0,1.0485759999999983e-06
107.0,4.194303999999995e-06
108.0,1.0485759999999983e-06
109.0,4.194303999999995e-06
110.0,4.194303999999995e-06
111.0,1.6777215999999983e-05
112.0,2.621439999999995e-07
113.0,1.0485759999999983e-06
114.0,1.0485759999999983e-06
115.0,4.194303999999995e-06
116.0,1.0485759999999983e-06
117.0,4.194303999999995e-06
118.0,4.194303999999995e-06
119.0,1.6777215999999983e-05
120.0,1.0485759999999983e-06
121.0,4.194303999999995e-06
122.0,4.194303999999995e-06
123.0,1.6777215999999983e-05
124.0,4.194303999999995e-06
125.0,1.6777215999999983e-05
126.0,1.6777215999999983e-05
127.0,6.710886399999994e-05
128.0,1.638399999999996e-08
129.0,6.553599999999987e-08
130.0,6.553599999999987e-08
131.0,2.621439999999995e-07
132.0,6.553599999999987e-08
133.0,2.621439999999995e-07
134.0,2.621439999999995e-07
135.0,1.0485759999999983e-06
136.0,6.553599999999987e-08
137.0,2.621439999999995e-07
138.0,2.621439999999995e-07
139.0,1.0485759999999983e-06
140.0,2.621439999999995e-07
141.0,1.0485759999999983e-06
142.0,1.0485759999999983e-06
143.0,4.194303999999995e-06
144.0,6.553599999999987e-08
145.0,2.621439999999995e-07
146.0,2.621439999999995e-07
147.0,1.0485759999999983e-06
148.0,2.621439999999995e-07
149.0,1.0485759999999983e-06
150.0,1.0485759999999983e-06
151.0,4.194303999999995e-06
152.0,2.621439999999995e-07
153.0,1.0485759999999983e-06
154.0,1.0485759999999983e-06
155.0,4.194303999999995e-06
156.0,1.0485759999999983e-06
157.0,4.194303999999995e-06
158.0,4.194303999999995e-06
159.0,1.6777215999999983e-05
160.0,6.553599999999987e-08
161.0,2.621439999999995e-07
162.0,2.621439999999995e-07
163.0,1.0485759999999983e-06
164.0,2.621439999999995e-07
165.0,1.0485759999999983e-06
166.0,1.0485759999999983e-06
167.0,4.194303999999995e-06
168.0,2.621439999999995e-07
169.0,1.0485759999999983e-06
170.0,1.0485759999999983e-06
171.0,4.194303999999995e-06
172.0,1.0485759999999983e-06
173.0,4.194303999999995e-06
174.0,4.194303999999995e-06
175.0,1.6777215999999983e-05
176.0,2.621439999999995e-07
177.0,1.0485759999999983e-06
178.0,1.0485759999999983e-06
179.0,4.194303999999995e-06
180.0,1.0485759999999983e-06
181.0,4.194303999999995e-06
182.0,4.194303999999995e-06
183.0,1.6777215999999983e-05
184.0,1.0485759999999983e-06
185.0,4.194303999999995e-06
186.0,4.194303999999995e-06
187.0,1.6777215999999983e-05
188.0,4.194303999999995e-06
189.0,1.6777215999999983e-05
190.0,1.6777215999999983e-05
191.0,6.710886399999994e-05
192.0,6.553599999999987e-08
193.0,2.621439999999995e-07
194.0,2.621439999999995e-07
195.0,1.0485759999999983e-06
196.0,2.621439999999995e-07
197.0,1.0485759999999983e-06
198.0,1.0485759999999983e-06
199.0,4.194303999999995e-06
200.0,2.621439999999995e-07
201.0,1.0485759999999983e-06
202.0,1.0485759999999983e-06
203.0,4.194303999999995e-06
204.0,1.0485759999999983e-06
205.0,4.194303999999995e-06
206.0,4.194303999999995e-06
207.0,1.6777215999999983e-05
208.0,2.621439999999995e-07
209.0,1.0485759999999983e-06
210.0,1.0485759999999983e-06
211.0,4.194303999999995e-06
212.0,1.0485759999999983e-06
213.0,4.194303999999995e-06
214.0,4.194303999999995e-06
215.0,1.6777215999999983e-05
216.0,1.0485759999999983e-06
217.0,4.194303999999995e-06
218.0,4.194303999999995e-06
219.0,1.6777215999999983e-05
220.0,4.194303999999995e-06
221.0,1.6777215999999983e-05
222.0,1.6777215999999983e-05
223.0,6.710886399999994e-05
224.0,2.621439999999995e-07
225.0,1.0485759999999983e-06
226.0,1.0485759999999983e-06
227.0,4.194303999999995e-06
228.0,1.0485759999999983e-06
229.0,4.194303999999995e-06
230.0,4.194303999999995e-06
231.0,1.6777215999999983e-05
232.0,1.0485759999999983e-06
233.0,4.194303999999995e-06
234.0,4.194303999999995e-06
235.0,1.6777215999999983e-05
236.0,4.194303999999995e-06
237.0,1.6777215999999983e-05
238.0,1.6777215999999983e-05
239.0,6.710886399999994e-05
240.0,1.0485759999999983e-06
241.0,4.194303999999995e-06
242.0,4.194303999999995e-06
243.0,1.6777215999999983e-05
244.0,4.194303999999995e-06
245.0,1.6777215999999983e-05
246.0,1.6777215999999983e-05
247.0,6.710886399999994e-05
248.0,4.194303999999995e-06
249.0,1.6777215999999983e-05
250.0,1.6777215999999983e-05
251.0,6.710886399999994e-05
252.0,1.6777215999999983e-05
253.0,6.710886399999994e-05
254.0,6.710886399999994e-05
255.0,0.0002684354559999999
256.0,1.638399999999996e-08
257.0,6.553599999999987e-08
258.0,6.553599999999987e-08
259.0,2.621439999999995e-07
260.0,6.553599999999987e-08
261.0,2.621439999999995e-07
